time,coin,dir,px,sz,ntl,fee,closedPnl
07/12/2025 - 03:03:18,ETH,Open Short,3047.5,0.1639,499.48524999999995,0.224768,-0.224768
07/12/2025 - 03:19:44,ETH,Close Short,3053.1,0.1636,499.48715999999996,0.224769,-1.1409289999999999
07/12/2025 - 03:36:58,ETH,Open Short,3049.1,0.1637,499.13767,0.224611,-0.224611
07/12/2025 - 03:53:27,ETH,Close Short,3053.4,0.164,500.7576,0.22534,-0.93218
07/12/2025 - 04:09:41,ETH,Open Long,3057.8,0.1634,499.64452,0.22484,-0.22484
07/12/2025 - 04:25:52,ETH,Long > Short,3054.8,0.1635,499.45980000000003,0.224756,-0.714956
07/12/2025 - 04:43:44,ETH,Short > Long,3057.9,0.1635,499.96665,0.224984,-0.225294
07/12/2025 - 05:16:35,ETH,Long > Short,3057.8,0.1635,499.9503,0.224977,-0.241317
07/12/2025 - 05:32:56,ETH,Open Short,3050.9,0.1638,499.73742000000004,0.224881,-0.224881
07/12/2025 - 05:49:16,ETH,Close Short,3052,0.1639,500.22279999999995,0.2251,-0.40539000000000003
07/12/2025 - 06:06:15,BTC,Open Short,89305,0.0056,500.108,0.225048,-0.225048
07/12/2025 - 06:23:21,ETH,Open Short,3048.9,0.164,500.0196,0.225008,-0.225008
07/12/2025 - 06:39:45,ETH,Close Short,3053.8,0.1638,500.21244,0.225095,-1.027715
07/12/2025 - 07:13:40,ETH,Open Short,3048.9004878049,0.164,500.01968000000363,0.225008,-0.225008
07/12/2025 - 07:30:07,ETH,Close Short,3051.3,0.1642,501.02346000000006,0.22546,-0.61954
07/12/2025 - 10:30:16,ETH,Open Short,3033.8,0.9821,2979.49498,1.340772,-1.340772
07/12/2025 - 10:53:05,BTC,Close Short,88912,0.0056,497.9072,0.224058,1.976742
07/12/2025 - 11:46:09,ETH,Close Short,3046.4,0.9821,2991.86944,1.34634,-13.720799999999999
07/12/2025 - 18:57:53,BTC,Open Long,90762,0.03306,3000.59172,1.350266,-1.350266
07/12/2025 - 19:18:31,BTC,Close Long,91485.5683605566,0.03306,3024.5128900000013,1.361029,22.560141
07/12/2025 - 19:20:57,BTC,Open Long,91252.4593065693,0.0548,5000.634769999998,2.250285,-2.250285
07/12/2025 - 19:21:04,ETH,Open Long,3131.3455894322,1.5973,5001.698310000053,2.250764,-2.250764
07/12/2025 - 19:28:05,BTC,Open Long,91395,0.01094,999.8613,0.449937,-0.449937
07/12/2025 - 19:28:13,BTC,Close Long,91377.3700943109,0.06574,6007.14831,2.703215,3.954281
07/12/2025 - 19:28:14,ETH,Close Long,3148.4,0.1587,499.65108000000004,0.224842,2.4825800000000005
07/12/2025 - 22:23:15,ETH,Close Long,3127.8165160573,1.4386,4499.676840000032,2.024853,-7.093736999999999
07/12/2025 - 22:43:38,ETH,Open Long,3111.5,0.9321,2900.22915,1.305102,-1.305102
07/12/2025 - 22:56:54,ETH,Close Long,3074.2,0.9321,2865.46182,1.289457,-36.056787
07/12/2025 - 23:48:53,ETH,Open Long,3059.3633639144,1.4715,4501.85319000004,2.025833,-2.025833
08/12/2025 - 02:29:07,ETH,Close Long,3105.992259599,1.4715,4570.467609999929,2.056709,66.562661
08/12/2025 - 02:34:33,BTC,Open Long,91237,0.03354,3060.08898,1.37704,-1.37704
08/12/2025 - 02:51:03,BTC,Close Long,90858.243219076,0.03355,3048.29406,1.371731,-14.075231
08/12/2025 - 02:51:07,ETH,Open Long,3116.4,0.9627,3000.15828,1.35007,-1.35007
08/12/2025 - 03:57:51,BTC,Short > Long,91195,0.0329,3000.3154999999997,1.350141,-1.3535110000000001
08/12/2025 - 04:14:25,BTC,Close Long,90935,0.03298,2999.0363,1.349565,-9.900965
08/12/2025 - 05:21:16,BTC,Close Short,90939,0.00009,8.184510000000001,0.003683,-0.004043
08/12/2025 - 05:38:00,BTC,Open Long,91109,0.03293,3000.2193700000003,1.350098,-1.350098
08/12/2025 - 06:11:45,BTC,Open Long,90900,0.011,999.9,0.449955,-0.449955
08/12/2025 - 06:11:56,ETH,Close Long,3127.5209637046,0.1598,499.77784999999506,0.224899,1.5522310000000001
08/12/2025 - 07:42:01,BTC,Close Long,91390,0.04393,4014.7626999999998,1.806642,12.83962
